,stripped,readable
150,school feeding programme therefore part long term short term solution hunger karamoja,The school feeding programme is therefore part of both the long term and short-term solution to hunger in Karamoja.
151,part warrior arrest cordon search operation karamoja gun ammunition recover,The 82 are part of the over 200 warriors arrested during the cordon and search operations in Karamoja where 58 guns and over 300 ammunition have been recovered.
152,regard refugee karamoja wfp always provide safety net,"With regards to refugees and Karamoja, WFP will always provide that safety net."
153,due year turbulence karamoja kob population kidepo six accord recent aerial survey,"Due to the years of turbulence in Karamoja, the kob population in Kidepo was down to just six, according to a recent aerial survey."
154,resolution reach th extra ordinary general assembly north east regional football association cover teso karamoja hold steron wall soroti city friday,The resolution was reached during the 8th extra-ordinary general assembly of the North East Regional Football Association which covers Teso and Karamoja held at Steron Walls in Soroti city on Friday.
155,check example money give people construction borehole karamoja steal people suffer,"Check, for example, where money is given to people for the construction of boreholes in Karamoja and it is stolen and people suffer."
156,similarly former minister ethic fr,"Similarly, when the former minister of Ethics Fr."
157,simon lokodo die mp home region karamoja demand government fill lokodo position uganda human rights commission one,"Simon Lokodo died, MPs from his home region, Karamoja, demanded that government fills Lokodo s position at the Uganda Human Rights Commission with one of their own."
158,example remember first president post independence africa donate salary development karamoja region time independence neglect colonial establishment remark assoc," For example, he is remembered as the first President in post-Independence Africa to donate his salary to the development of Karamoja region, which by the time of our independence had been neglected by the colonial establishment remarked Assoc."
159,well coordinate approach deal karamoja problem,We have not had any well coordinated approach to dealing with Karamoja problem.
160,express concern proliferation cultural association karamoja often lack clear vision drive self interest advocacy,"He also expressed concerns about the proliferation of cultural associations in Karamoja, often lacking a clear vision and driven by self-interest advocacy."
161,proof president commitment end graft misuse public fund abuse office one want especially minister karamoja sleep prison time write article,"What more proof of the President s commitment to ending graft and misuse of public funds and abuse of office does one want, especially with the Minister of Karamoja sleeping in Prison at the time of writing this article (1am)."
162,similar situation develop karamoja region hunger claim people other verge die,A similar situation is also developing in Karamoja region where hunger has claimed 12 people while others on the verge of dying.
163,forum democratic change fdc leadership week continue working visit karamoja assess security humanitarian situation region,The Forum for Democratic Change (FDC) leadership is this week continuing with its working visit in Karamoja to assess the security and humanitarian situation in the region.
164,ipc attribute high level food insecurity karamoja insecurity part karamoja,The IPC attributed the high levels of food insecurity in Karamoja to insecurity in some parts of Karamoja.
165,entire karamoja region small region matheniko bokora jie pokot dodoth pian ik entire karamoja sub region one member staff come oulanyah say,"The entire Karamoja region and it is not a small region; we have the Matheniko, Bokora, Jie, Pokot, Dodoth, Pian and Ik; in that entire Karamoja sub-region, there is not one member of staff that comes from there, Oulanyah said."
166,see diversification food crop livestock breed harvesting water production elimination dependence food aid boost school feeding programme solution karamoja problem,"She also sees diversification of food crops, livestock breeds, harvesting water for production, elimination of dependence on food aid and boosting the school feeding programme as solutions to Karamoja s problems."
167,example goal concern amongst first ngo support karamoja famine,"For example, Goal and Concern were amongst the first NGOs to support Karamoja during the 1970s famine."
168,speak issue security president say government defeat kony rebel north rustler karamoja adf dr congo,"Speaking on the issue of security, the president said his government had defeated Kony rebels in the north, the rustlers in Karamoja, and the ADF in the DR Congo."
169,napak district woman mp faith nakut ask speaker ensure committee charge inquiry iron sheet saga facilitate travel karamoja,"Napak District Woman MP, Faith Nakut asked the Speaker to ensure the committee charged with the inquiry of the iron sheets saga be facilitated to travel to Karamoja."
170,many remember great leader enlighten karamoja,Many remember him as great leader who enlightened Karamoja.
171,crowd early demand know bobi wine come thank concert poster month long radio advert assure karamoja would present understand mc explain,"The crowd had earlier on demanded to know if Bobi Wine was coming, thanks to the concert posters and the month- long radio adverts that had him assuring Karamoja he would be present, but they understood when the MC explained."
172,build house widow mother build school karamoja,We have built houses for widowed mothers and we have built a school in Karamoja.
173,child big trouble causer one use cattle raid give skill education change karamoja,"The children are the big trouble causers, they are the ones who are used in cattle raids but when they are given skills and education, there will be change in Karamoja."
174,say donor invest emergency response long term solution resolve hunger malnutrition crisis karamoja,He said donors should invest in both emergency response and long-term solutions to resolve the hunger and malnutrition crisis in Karamoja.
175,say proliferation gun karamoja bring turkana pastoralist hurt security force lot recovery do gun keep come,He said that the proliferation of guns into Karamoja brought in by Turkana pastoralists is hurting the security forces because a lot of recoveries are done but the guns keep coming in.
176,stress need government mobilise investment industrialisation karamoja say area rich natural resource limestone million tonne cement marble production fruit processing leather tanning meat processing honey production gold mining tourism,"He stressed the need for government to mobilise for investment and industrialisation in Karamoja; saying that the area is rich in natural resources such as limestone (300 million tonnes) for cement and marble production, fruit processing, leather tanning, meat processing, honey production, gold mining and tourism."
177,government welcome pound uk investment karamoja nutrition project,Government has welcomed a 23m pound UK investment in the Karamoja nutrition project.
178,people karamoja vote nrm government year fortune change muguzi say," The people in Karamoja have been voting for the (NRM) government for years but their fortunes have not changed, Muguzi said."
179,region karamoja still stands challenge education food water energy deprivation health early childhood pregnancy report insecurity,"As a region, Karamoja still stands challenged, with education, food-water-energy deprivation, health, and early childhood pregnancies, and now, reports of insecurity."
180,address come time people karamoja sub region struggle food insecurity see people starve death,The address also comes at a time the people in the Karamoja sub region are struggling with food insecurity that has seen over 40 people starve to death.
181,well people karamoja black one silicon valley white,Well the people in Karamoja will be black and the ones in the Silicon Valley will be white.
182,dpp jane france abodo daughter karamoja last week close case file minister top official implicate iron sheet scandal due lack sufficient evidence,"DPP Jane Frances Abodo, herself a daughter of Karamoja, last week closed 17 case files of some ministers and other top officials implicated in the iron sheets scandal due to lack of sufficient evidence."
183,accord statistic unfpa karamoja classify one world poor area high rate malnutrition disproportionate number million people live absolute poverty,"According to statistics from UNFPA, Karamoja is classified as one of the world s poorest areas, with high rates of malnutrition and disproportionate number of 61% of its 1.2 million people living in absolute poverty."
184,know iron sheet karamoja, I did not know the iron sheets were for Karamoja.
185,karamoja focal point drought associate problem stephen magezi say culture aid dependency grow region,"Karamoja has been a focal point for drought-associated problems, and Stephen Magezi says that a culture of aid-dependency has grown up in the region."
186,recent week member parliament northern eastern region call fresh disarmament process karamoja order reduce number gun civilian hand,"In recent weeks, Members of Parliament from the northern and eastern regions called for a fresh disarmament process in Karamoja in order to reduce the number of guns in civilian hands."
187,last year another survey dub situational analysis teso karamoja uncover administrative gap affect welfare muslim community,"Last year, another survey dubbed Situational Analysis of Teso and Karamoja uncovered administrative gaps affecting the welfare of Muslim communities."
188,embassy ireland give donation partnership doctor africa medici con l africa cuamm support well access medical service karamoja,"The Embassy of Ireland gave the donation in partnership with, Doctors in Africa (Medici con l'Africa - CUAMM) to support better access to medical services for all in Karamoja."
189,however minister hark back karamoja programme work,"However, the minister harked back to the Karamoja programme, where she once worked."
190,richard oyel explore beautiful side karamoja story,Richard Oyel explores the beautiful side of Karamoja in his story.
191,case pertain alleged diversion iron sheet originally intend vulnerable individual karamoja region,The case pertains to the alleged diversion of iron sheets originally intended for vulnerable individuals in the Karamoja region.
192,big number ugandan household food insecure find karamoja budaka busoga region,"The biggest number of Ugandan households that are food insecure are found in Karamoja, Budaka and Busoga regions."
193,prime minister underscore vital relationship security socio economic development note challenge karamoja face due internal external security threat,"The Prime Minister underscored the vital relationship between security and socio-economic development, noting the challenges Karamoja has faced due to internal and external security threats."
194,cattle theft within karamoja iteso especially border accuse karimojong steal cattle,"While there are cattle thefts within Karamoja, the Iteso especially at the border accuse the Karimojong of stealing their cattle."
195,use force karamoja never achieve want apply peace dialogue say," When you use the force in Karamoja you will never achieve what you want but apply peace and dialogue, he said."
196,first day primary leaving examination ple characterize late delivery exam material especially ntoroko district karamoja sub region attribute flood render road impassable,The first day of the Primary Leaving Examinations (PLE)was characterized by late delivery of exam materials especially in Ntoroko district and Karamoja sub region and this was attributed to floods that rendered roads impassable.
197,observer say nrm government attempt go little previous government deliberately seek address karamoja problem mainstreame karamoja national fabric,"Some observers say the NRM government has attempted to go a little further than previous governments in deliberately seeking to address the Karamoja problem, by mainstreaming Karamoja into the national fabric."
198,strong astu team deploy different district karamoja well part sebei sub region,A 300-strong ASTU team was deployed in different districts of Karamoja as well as parts of Sebei sub region.
199,add karamoja vast underutilize land unexploited resource harness help lower sub region poverty level,"He added that Karamoja has vast underutilized land and other unexploited resources which if harnessed, will help lower the sub-region s poverty levels."
200,karamoja incumbent simon peter aleper retain seat defeat challenger lokor jimmy ,"In Karamoja, the incumbent Simon Peter Aleper retained his seat after defeating his only challenger Lokor Jimmy with 8,143 against 2,220."
201,president meet district leader commander karamoja understand whole issue resurgence insecurity karamoja,The president has been meeting the district leaders and commanders in Karamoja to understand the whole issues of the resurgence of insecurity in Karamoja.
202,meanwhile kyamugambi say ugandans must desist compare cost railway line kenya ethiopia,"Meanwhile, Kyamugambi said Ugandans must desist from comparing costs of the railway line with Kenya and Ethiopia s."
203,whether vegetable tea coffee oil gemstone policy action government next year ensure much value many job possible create retain kenya,"Whether it is our vegetables, tea, coffee, oil or gemstones, our policies and actions as a government over the next 5 years will be to ensure that as much value, and as many jobs, as possible are created and retained in Kenya."
204,kenya become first country globally approve national performance trial genetically modify gm cassava,In 2021 Kenya also became the first country globally to approve national performance trials of genetically modified (GM) cassava.
205,kenya incoming president face murder deportation persecution charge international criminal court role postelection violence kill people,"And Kenya's incoming president faced murder, deportation and persecution charges at the International Criminal Court over his role in 2007 postelection violence that killed about 1,200 people."
206,kenya second good performer region rank position compare last year ,"Kenya, the second best performer in the region, was ranked position 92 compared with 108 last year, 121 in 2013 and 109 in 2012."
207,since kenya make tremendous economic educational social democratic progress,"Since then, Kenya has made tremendous economic, educational, social and democratic progress."
208,august dr besigye bobi wine kenya election observer hotly contest election kenya fourth president william ruto,August 9: Dr. Besigye and Bobi Wine are in Kenya as election observers for the hotly contested election for Kenya s fourth president that was won by William Ruto.
209,say otunnu camp go school kenya dig information,He says Otunnu s camp went up to his school in Kenya to dig for information.
210,one three mp parliament uganda together counterpart kenya tanzania sign east african community protocol establish community dar es salaam,"He was also one of the three MPs from the Parliament of Uganda who, together with 3 counterparts from Kenya and 3 from Tanzania, signed the East African Community Protocol establishing the Community in Dar-es-Salaam in 1998."
211,however kenya witness decline coffee export earning total kshs billion approximately million first six month compare kshssh billion approximately million period last year,"However, Kenya witnessed a decline in coffee export earnings, totaling Kshs25.5 billion (approximately $170.85 million) in the first six months of 2023, compared to KshsSh26.6 billion (approximately $178.2 million) in the same period last year."
212,solar power fence jointly finance ministry tourism space giant kenya base charity work local community prevent human wildlife conflict,"The solar powered fence is jointly financed by the Ministry of Tourism and Space for Giants, a Kenya-based charity, which works with local communities to prevent human-wildlife conflict."
213,kenya fine shs swiss franc late arrival team cape verde result late kick world cup qualifier november,"Kenya were also fined Shs 35,004,306 (10,000 Swiss Francs) for the late arrival of their team in Cape Verde which resulted to a late kick-off in the 2018 World Cup qualifier on November 13, 2015."
214,least bird specie african skimmer african fish eagle african jacana saddle bill stork martial eagle shoebill heron kingfisher egret pelican cormorant garl lark flamingo migrate park lake nakuru lake naivasha kenya queen elizabeth national park big bird africa perfect destination bird safaris,"With at least 618 bird species such as the African skimmers, African fish eagles, African jacana, saddle-billed stork, martial eagles, shoebills, herons, kingfishers, egrets, pelicans, cormorants, garls, larks and flamingoes which migrate to the park from Lake Nakuru and Lake Naivasha in Kenya, Queen Elizabeth national park is the biggest bird haven in Africa and perfect destination for birding safaris."
215,shall benefit tourist currently get kenya ensure get profit sell expensively," That is when we shall also benefit from the tourists but, currently, we get them from Kenya and to ensure we get profit from them, we sell them expensively."
216,pass rate kenya level tanzania,The pass rate for Kenya at the same level was 42% and Tanzania 36%.
217,speak journalist parliament friday mwenge north mp lawrence akugizibwe say government fail come scheme guarantee loan farmer factory like case kenya,"Speaking to journalists at parliament on Friday, Mwenge North MP Lawrence Akugizibwe said government has failed to come up with a scheme to guarantee loans for the farmers so that they can own their factories like is the case in Kenya."
218,another swarm come turkana county loima district kenya nakabaat rupa sub county,"Another swarm came from Turkana county, Loima district in Kenya to Nakabaat in Rupa sub-county."
219,kenya need work overtime set power generation agenda identify real versus perceive need,"As such, Kenya needs to work overtime to set a power generation agenda that identifies real versus perceived needs."
220,minister hail kenya take lead sgr,The minister further hailed Kenya for taking the lead with SGR.
221,include detailed energy profile country represent three quarter region gross domestic product energy demand include nigeria south africa ethiopia kenya ghana,"It includes detailed energy profiles of 11 countries that represent three-quarters of the region s gross domestic product and energy demand, including Nigeria, South Africa, Ethiopia, Kenya and Ghana."
222,april instance kenya laikipia county pastoralist armed automatic rifle raid farm wildlife reserve conservancy drive away head cattle,"In April 2017, for instance, in Kenya s Laikipia County, about 10,000 pastoralists armed with automatic rifles raided farms, wildlife reserves and conservancies, driving away 135,000 head of cattle."
223,ibrahim njenga kenyan fence technician oversee work fix fence botswana gabon kenya say work,"But Ibrahim Njenga, a Kenyan fence technician who is overseeing the work and has fixed the fences in Botswana, Gabon, and Kenya, says it works."
224,other include yemen djibouti eritrea ethiopia somalia south sudan sudan tanzania kenya,"The others include Yemen, Djibouti, Eritrea, Ethiopia, Somalia, South Sudan, Sudan, Tanzania and Kenya."
225,accord popular narrative kenya suffer twin evil electricity overly expensive short supply,"According to the popular narrative, Kenya suffers from the twin evils of electricity that is overly expensive and in short supply."
226,however official hospital reveal average hospital use cubic meter cylinder supply british oxygen company boc kenya five cylinder per ward per day,"However, an official at the hospital revealed that on average, the hospital uses 200 of the 6.8 cubic meter cylinders supplied by British Oxygen Company (BOC) Kenya or about five cylinders per ward per day."
227,economic success story recent year follow different path far government involvement ethiopia market drive model ghana kenya,The economic success stories of recent years have followed different paths with far more government involvement in Ethiopia and more market-driven models in Ghana and Kenya.
228,nevertheless two large shipment chinese weapon juba via mombasa kenya legal due lack arm embargo ensure spla well supply ongoing civil war shipment include million round small calibre ammunition well rocket grenade missile pistol assault rifle machine gun,"Nevertheless, two large shipments of Chinese weapons to Juba, via Mombasa in Kenya, while legal due to the lack of any arms embargo, ensured the SPLA was well-supplied for the ongoing civil war: the shipments included more than 27 million rounds of small-calibre ammunition, as well as rockets, grenades, missiles, pistols assault rifles and machine guns."
229,great lake region kenya tanzania set practice leader must change every five ten year change democratically election,"In the Great Lakes region, Kenya and Tanzania have set a practice that leaders must change after every five or ten years and they change only democratically through elections."
230,tanzania recently discover huge gas deposit kenya top oil make huge technological infrastructural investment open international investor,"Tanzania has recently discovered huge gas deposits and Kenya on top of oil, has made huge technological and infrastructural investments opening itself up for the international investor."
231,trade dispute tanzania kenya big economy region spill livestock tourism sector,"The trade disputes between Tanzania and Kenya, which are the biggest economies in the region, have also spilt into livestock and the tourism sectors."
232,contestant kenya catriona gray philippine final five,Contestants from Kenya and Catriona Gray of the Philippines also were in the final five.
233,researcher national agricultural research organisation say pest suspect come kenya could enter farm although could confirm far reach,"Researchers at the National Agricultural Research Organisation say the pest, which is suspected to have come from Kenya, could have entered into some farms although they could not confirm how far it has reached."
234,kidepo national park share border kenya south sudan,[Kidepo national park shares borders with Kenya and South Sudan.
235,kenya regard least develop country would battle increase tariff product destine europe,"Kenya is not regarded as a least developed country; so, it would have to battle increased tariffs on its products destined for Europe."
236,kenya industrial consumer demand economic growth relative poverty well current grid distribution network simply support magnitude power generation exorbitant cost,"Kenya s industrial and consumer demand, economic growth, relative poverty as well as the current grid and distribution network simply do not support this magnitude of power generation at such exorbitant costs."
237,despite kenya tanzania big economy region minimum wage policy,"This is despite Kenya and Tanzania, which are the biggest economies in the region, having a minimum wage policy."
238,kenya man side egypt woman concern follow triumph six day tournament mtn arena,"Kenya s men side and Egypt s women have no such concerns, following their triumph in the six day tournament at the MTN arena."
239,raphael omondi education outreach liaison officer wap say kenya steal donkey daily skin,"Raphael Omondi, the education and outreach liaison officer, WAP, said in Kenya, they steal donkeys daily for their skin."
240,kenya cost per kilometer mombasa nairobi leg,Kenya s cost is about $7.7m per kilometer on the Mombasa-Nairobi leg.
241,turn community northern kenya right along pastoralist livestock husbandry practice well adapt dryland condition pastoralism viable land use option make sustainable use dispersed resource,"It turned out that my community in northern Kenya had been right all along: pastoralists livestock-husbandry practices are well adapted to dryland conditions, and pastoralism is a viable land-use option that can make sustainable use of dispersed resources."
242,hope harvest could export neighbouring tanzania kenya well pay,They hoped their harvest could be exported to neighbouring Tanzania and Kenya for a better pay.
243,nairobi kenya afp despite long standing restriction new weapon continue reach south sudan battlefield often via neighbouring country detailed report arm monitoring group say thursday,"Nairobi, Kenya | AFP | Despite long-standing restrictions, new weapons have continued to reach South Sudan s battlefields, often via neighbouring countries, a detailed report by an arms monitoring group said Thursday."
244,election violence kenya government inject million image promotion reassure world one incident,"After the election violence in Kenya, the government injected about $10 million in image promotion to reassure the world that it was a one off incident and it was over."
245,however kenya robust tourism sector region besides tanzania record we bn earning compare we million previous year result growth international tourist arrival million,"However, Kenya, which has a more robust tourism sector in the region besides Tanzania, recorded US$1.2bn in earnings compared with US$989 million in the previous year as a result of a 9.8% growth in international tourist arrivals to 1.4million."
246,frank kenya deputy president william ruto dr yonas tegega woldemariam world health organisation country representative adviser food drug administration fda health minister dr jane ruth aceng dr monica musenero minister science technology innovation president warn government official sabotage mr magoola,"Franked by Kenya s deputy President William Ruto, Dr Yonas Tegega Woldemariam, the World Health Organisation (WHO) country representative, and an adviser at Food and Drug Administration (FDA), Health Minister Dr. Jane Ruth Aceng, and Dr Monica Musenero, the Minister of Science, Technology and Innovation, the president warned government officials against sabotaging Mr. Magoola."
247,world cross country championship attract athlete australia ethiopia kenya burundi canada brazil egypt eritrea spain new zealand china among other,"The World Cross Country Championship 2023 will also attract other athletes from Australia, Ethiopia, Kenya, Burundi, Canada, Brazil, Egypt, Eritrea, Spain, New Zealand and China among others."
248,decade later little progress make pastoral community northern kenya continue grapple water scarcity problem,"But a decade later, little progress has been made and the pastoral communities of northern Kenya continue to grapple with water scarcity problems."
249,split time berkeley california nairobi kenya,"He splits his time between Berkeley, California and Nairobi, Kenya."
250,kenya jomo kenyatta found father kenya groom son uhuru kenyatta pass away,"In Kenya, Jomo Kenyatta, the founding father of Kenya, groomed his son Uhuru Kenyatta before he passed away in 1978."
251,onesmus kipchumba murkoman one support effort aim improve infrastructure kenya country,Onesmus Kipchumba Murkomen is one of those who have supported efforts aimed at improving infrastructure between Kenya and other countries.
252,kenya atul shah nakumatt manage director say branch cull strategy start sub optimally perform branch whose lease contract due renewal follow branch poor location,"In Kenya, Atul Shah, the Nakumatt managing director, said the branch culling strategy will start with sub-optimally performing branches whose lease contracts are due for renewal to be followed by branches in poor locations."
253,say turkana county northern kenya sorghum crop around percent damage yield link pest report,"He said that in Turkana County in northern Kenya, sorghum crops with around 15 to 20 percent damage to the yield linked to the pests had been reported."
254,date kenya reportedly memorandum understanding russia china south korea slovakia involve building four nuclear power plant total output mw,"To date, Kenya reportedly has memoranda of understanding with Russia, China, South Korea, and Slovakia which involve the building of four nuclear power plants with a total output of 4,000 MW."
255,contributor djibouti ethiopia kenya,"Other contributors are Djibouti, Ethiopia and Kenya."
256,estimate point lightweight polythene shopping bag use country import kenya,But their estimates point to 80% of lightweight polythene shopping bags used in the country being imported from Kenya.
257,wake yet another tragic terrorist attack neighbouring kenya ugandans need take serious stock security precaution,"In the wake of yet another tragic terrorist attack in neighbouring Kenya, Ugandans need to take serious stock of our own security precautions."
258,loss visitor come sharp fall aeroplane flight disrupt export kenya high value fruit vegetable,"With the loss of visitors came a sharp fall in aeroplane flights, which disrupted exports of Kenya s high-value fruits and vegetables."
259,nairobi time blinken meet kenyan president uhuru kenyatta cabinet secretary foreign affair ambassador raychelle omamo affirm strategic partnership kenya,"In Nairobi, at the time, Blinken met with Kenyan President Uhuru Kenyatta and Cabinet Secretary for Foreign Affairs Ambassador Raychelle Omamo, to affirm their strategic partnership with Kenya ."
260,president accompany cabinet secretary eugene wamalwa devolution simon chelugui water john munyes mining say kenya develop amenity include school dam health centre side common border accessible community cluster,"The President, who was accompanied by Cabinet Secretaries Eugene Wamalwa (Devolution), Simon Chelugui (Water) and John Munyes (Mining), said Kenya will develop amenities including schools, dams and health centres on its side of the common border that will be accessible to all communities in the cluster."
261,three year ago kenya become first country east african region grow genetically modify crop approve commercial farming bt cotton variety cotton resistant devastating african bollworm,"Three years ago, in 2019 Kenya became the first country in the East African region to grow a genetically modified crop when it approved commercial farming of Bt cotton; a variety of cotton that is resistant against the devastating African Bollworm."
262,western kenya receive moderate rain apart low part lake region bit dry area around lake victoria,In western Kenya we are receiving moderate rains apart from the lower part of the lake region which is a bit drier which are areas around Lake Victoria.
263,ushered development educational authorship come publish firm mostly britain base nairobi kenya,"The 1960s ushered in the development of educational authorship, with the coming up of publishing firms mostly from Britain and based in Nairobi, Kenya."
264,attract exhibitor least country include nigeria thailand kenya ghana south africa sudan,"It has attracted exhibitors from at least 20 countries, including Nigeria, Thailand, Kenya, Ghana, South Africa and Sudan."
265,however locust continue lay egg kenya somalia ethiopia,"However, locusts continue laying eggs in Kenya, Somalia and Ethiopia."
266,nandutu say government work kenya ensure peace prevail karamoja region,Nandutu says the government is working with Kenya to ensure peace prevails in the Karamoja region.
267,startime push local programming commitment collaborate local content owner producer across continent focus mostly kenya nigeria market,"StarTimes has also pushed local programming, with a commitment to collaborate with local content owners and producers across the continent, focusing mostly on the Kenya and Nigeria markets."
268,al shabab run riot northern kenya pose security risk whatever infrastructure plan,"The Al Shabab was running riot in northern Kenya, posing a security risk to whatever infrastructure that was planned."
269,kenya ban gm crop,Kenya banned GM crops in 2012.
270,stress kenya vulnerability water insecurity cause erratic rainfall pattern influence climate change kenyan official forum say research investment need identify understand groundwater aquifer improve capacity monitoring assessment,"Stressing Kenya s vulnerability and water insecurity caused by erratic rainfall patterns and the influence of climate change, Kenyan officials at the forum said more research and investment is now needed to identify and understand groundwater aquifers to improve capacity for their monitoring and assessment."
271,spotlight kenya labour right violation u likely sweep carpet,So the spotlight will be on Kenya while labour rights violations in the U.S. are likely to be swept under the carpet.
272,search cure vaccine coronavirus intensify around globe include kenya medical researcher race find elusive remedy,"The search for both a cure and a vaccine for the coronavirus has intensified around the globe, including in Kenya, as medical researchers race to find the elusive remedy."
273,explain karamojong sleep night fail herd cattle cattle rustle warrior neighboring kenya include pokot toposa raider somalia south sudan,"He explained that the Karamojong cannot sleep at night and that they are also failing to herd their cattle because of cattle rustling by warriors from neighboring Kenya, including the Pokot, Toposa, raiders from Somalia and South Sudan."
274,note kenya maximum power demand would grow mw current mw project standard gauge railway start operate fully,"It noted that Kenya s maximum power demand would grow 72% to 2,259MW by 2020 from the current 1,620MW, when projects such as the standard gauge railway start operating fully ."
275,include ivory coast kenya cameroon dr congo cape verde djibouti egypt ghana lesotho morocco mauritania sudan senegal south sudan tom principe swaziland zambia,"They include Ivory Coast, Kenya, Cameroon, DR Congo, Cape Verde, Djibouti, Egypt, Ghana, Lesotho, Morocco, Mauritania, Sudan, Senegal, South Sudan, S o Tom and Principe, Swaziland and Zambia."
276,period kenya export u item worth we million ethiopia we million chad we south africa we million,"Over the same period Kenya exported to the U.S. items worth US$566 million, Ethiopia US$206 million, Chad US$2,328, and South Africa US$8,307 million."
277,armed hand draw map route take get hotel courtesy sister got marry kenya head city got lose anyway second time visit matatu drop spot map,Armed with a hand-drawn map of the routes I was to take to get to my hotel courtesy of my sister who got married in Kenya I headed for the city but got lost anyway (for the second time during my visit) because the matatu dropped me at a spot that was not on my map.
278,nairobi kenya afp african union ask burundi reduce contribution african peacekeeping force somalia thousand man progressive pullout country au,"Nairobi, Kenya | AFP | The African Union has asked Burundi to reduce its contribution to an African peacekeeping force in Somalia by a thousand men under a progressive pullout from the country by the AU."
279,kenya tanzania already refinery cheap source oil sudan plan refinery,But Kenya and Tanzania already have their own refineries and cheap sources of oil while Sudan is planning its own refinery.
280,compare industrialise nation kenya unable produce large quantity industrial timber due lack supply age sawmill,"Compared to more industrialised nations, Kenya is unable to produce large quantities of industrial timber due to a lack of supply and the age of its sawmills."
281,kenya dominate competition overall team event three gold medal four silver medal two bronze medal bag point,"Kenya who dominated the competition won the overall team event with three gold medals, four silver medals and two bronze medals to bag 79 points."
282,example magic river adapt kenya kina angola rio,"For example, 1Magic s The River was adapted for Kenya (as Kina) and Angola (O Rio)."
283,snag traverse generation show different form across east africa haunt rail line rift valley railway saga kenya signing contract china build madaraka express standard gauge railway sgr questionable condition cry incompetence stain management ugandan arm rail line,"These snags have traversed generations and showed up in different forms across East Africa to haunt the rail line: the Rift Valley Railways saga, Kenya s signing of contracts with China to build the Madaraka ExpressStandard Gauge Railway [SGR] under questionable conditions, and cries of incompetence that stained management on the Ugandan arm of the rail line."
284,daniel arap moi appoint vice president kenya president jomo kenyatta serve year jomo kenyatta pass away old age,Daniel arap Moi was appointed Vice-President of Kenya by President Jomo Kenyatta in 1966 and he served for 12 years until 1978 when Jomo Kenyatta passed away because of old age.
285,top kenya problem need energy,"On top of this, Kenya s problem is not that it needs more energy."
286,rusf manufacture france ethiopia pakistan kenya south africa,"RUSF is manufactured in France, Ethiopia, Pakistan, Kenya and South Africa."
287,kenya currently large exporter hass avocado africa whereby get we million foreign exchange,Kenya is currently the largest exporter of Hass avocado in Africa whereby it gets up to US$ 100 million in foreign exchange.
288,tom collins side congested ngong road kenya capital city nairobi informal carpenter know fundi spend day make bed table chair ever expand housing market,"| TOM COLLINS | On both sides of the congested Ngong Road in Kenya s capital city of Nairobi, informal carpenters known as fundis spend each day making beds, tables and chairs for the ever-expanding housing market."
289,francis adome member parliament moroto municipality say factory strategic location attract market neighboring country kenya south sudan,"Francis Adome, the Member of Parliament for Moroto Municipality said that the factory is in a strategic location and will attract markets from neighboring countries such as Kenya and South Sudan."
290,hospital past use rental oxygen tank british oxygen company kenya boc cylinder back,"The hospital in the past was using a rental oxygen tank from British Oxygen Company, Kenya (BOC) and cylinders for back up."
291,last week african union summit addis ababa resolve ask un security council defer case president uhuru kenyatta kenya icc,"Last week, the African Union summit in Addis Ababa resolved to ask the UN Security Council to defer the case against President Uhuru Kenyatta of Kenya at the ICC."
292,september fuel price kenya rise high level kenya history government attempt discontinue subsidy scheme fuel introduce april,"In September, fuel prices in Kenya rose to the highest level in Kenya s history after the government attempted to discontinue the subsidy scheme on fuel that was introduced in April."
293,kenya part nation reportedly due status middle income nation,Kenya will not be part of the 17 nations reportedly due to its status as a middle-income nation.
294,hane say salt bulk buyer come democratic republic congo drc kenya,Hane says most of salt bulk buyers were coming from Democratic Republic of Congo-DRC and Kenya.
295,include presence moth weevil poisonous aflatoxin reason usually use export market like kenya restrict ugandan export,"These include the presence of moths, weevils and the poisonous aflatoxin, some of the reasons usually used by export markets like Kenya to restrict Ugandan exports."
296,frastration ingenuity informally trade raw material across river lwakhakha name mean border lumasaaba mark part kenya uganda market chepkube cheptais chepiungu kapchanga develop,"Then, out of the frastration, some ingenuity of informally trading in the raw materials across the River Lwakhakha (the name itself means border in Lumasaaba) that marks that part of the Kenya-Uganda to the markets in Chepkube, Cheptais, Chepiungu and Kapchanga developed."
297,kenya prepared fully implement provision common market protocol july st kenyatta say call upon brother community," Kenya is prepared to fully implement the provisions of the Common Market Protocol from July 1st 2010, Kenyatta said, I also call upon our brothers in the community to do the same."
298,three victim say escape hiding neighbouring kenya fourth girl rescue bleed profusely unbearable pain,Three of the victims are said to have escaped into hiding in neighbouring Kenya while the fourth girl was rescued bleeding profusely and in unbearable pain.
299,observer say museveni u turn lot personal fear court opposition politician attempt take court criticism crystallise around icc insistence try kenya president uhuru kenyatta deputy william ruto,"While observers say that Museveni s U-turn has a lot to do with his personal fears about the court (some opposition politicians have attempted to take him to the court), his criticism has crystallised around the ICC s insistence on trying Kenya s President Uhuru Kenyatta and his deputy, William Ruto."
300,inspire kenya fight lamu coal project, I m inspired by how Kenya fought the Lamu coal project.
301,come time kenya trade neighbor dwindle last three year especially term country export,"She comes in at a time when Kenya s trade with her neighbors has dwindled over the last three years, especially in terms of the country s exports."
